logz logzerr logvol nlive logl logwt insert_order
-1.328025452231349934e+00 7.789671200510321636e-02 -3.078847797693005095e-01 2.940000000000000000e+02 7.663135287836106661e-10 -5.991464546341668473e+00 nan
-1.318635711881494643e+00 7.599071411415284083e-02 -3.112919380909148215e-01 2.930000000000000000e+02 7.663350124851752949e-10 -5.991464546341647157e+00 nan
-1.309333319219164959e+00 7.252588494302289468e-02 -3.147107448397004070e-01 2.920000000000000000e+02 7.663374892795495183e-10 -5.991464546341645381e+00 nan
-1.300116664114224996e+00 7.214034036318638099e-02 -3.181412799364896626e-01 2.910000000000000000e+02 7.663563596125783241e-10 -5.991464546341625841e+00 nan
-1.290984180550936555e+00 7.220611284124683893e-02 -3.215836241274624419e-01 2.900000000000000000e+02 7.663846667946922017e-10 -5.991464546341597419e+00 nan
-1.281934345031002787e+00 7.194820958987614701e-02 -3.250378589955499886e-01 2.890000000000000000e+02 7.664150628352006786e-10 -5.991464546341567221e+00 nan
-1.272965675048226553e+00 7.014578890040876202e-02 -3.285040669720362128e-01 2.880000000000000000e+02 7.664384808177181251e-10 -5.991464546341544128e+00 nan
-1.264076727630964792e+00 6.996033477125276900e-02 -3.319823313483610261e-01 2.870000000000000000e+02 7.664479558400750811e-10 -5.991464546341534358e+00 nan
-1.255266097948794402e+00 7.232998570156132234e-02 -3.354727362881295694e-01 2.860000000000000000e+02 7.664616727125746784e-10 -5.991464546341520148e+00 nan
-1.246532417980024343e+00 6.821528924431169427e-02 -3.389753668393316599e-01 2.850000000000000000e+02 7.664706937319138562e-10 -5.991464546341512154e+00 nan
-1.237874355236894486e+00 6.754644730434920807e-02 -3.424903089467761230e-01 2.840000000000000000e+02 7.664855142914461701e-10 -5.991464546341497055e+00 nan
-1.229290611545488021e+00 6.644793173042050360e-02 -3.460176494647445589e-01 2.830000000000000000e+02 7.664917064777075541e-10 -5.991464546341490838e+00 nan
-1.220779921877564567e+00 6.398132649790005955e-02 -3.495574761698685973e-01 2.820000000000000000e+02 7.665159755434203515e-10 -5.991464546341466857e+00 nan
-1.212341053231685173e+00 6.289449884220109366e-02 -3.531098777742364137e-01 2.810000000000000000e+02 7.665419205508782934e-10 -5.991464546341440212e+00 nan
-1.203972803561153881e+00 5.997040505523113657e-02 -3.566749439387325582e-01 2.800000000000000000e+02 7.665534837210523377e-10 -5.991464546341428665e+00 nan
-1.195674000746444143e+00 5.918219404310263998e-02 -3.602527652866165386e-01 2.790000000000000000e+02 7.665626388830136218e-10 -5.991464546341418895e+00 nan
-1.187443501609914298e+00 5.812476791933772480e-02 -3.638434334173450968e-01 2.780000000000000000e+02 7.665732181777018202e-10 -5.991464546341408237e+00 nan
-1.179280190970739106e+00 5.729939261547704193e-02 -3.674470409206436750e-01 2.770000000000000000e+02 7.665993933617771857e-10 -5.991464546341383368e+00 nan
-1.171182980738105339e+00 5.592760001750932825e-02 -3.710636813908321785e-01 2.760000000000000000e+02 7.666431180736867016e-10 -5.991464546341338959e+00 nan
-1.163150809040826683e+00 5.372616578086043121e-02 -3.746934494414108641e-01 2.750000000000000000e+02 7.666492827801564506e-10 -5.991464546341333630e+00 nan
-1.155182639391635568e+00 5.463252020501464107e-02 -3.783364407199119595e-01 2.740000000000000000e+02 7.666494177447800882e-10 -5.991464546341332742e+00 nan
-1.147277459884508355e+00 5.196067439985896375e-02 -3.819927519230224555e-01 2.730000000000000000e+02 7.666621299933393289e-10 -5.991464546341320307e+00 nan
-1.139434282423468670e+00 4.930837881713887039e-02 -3.856624808119848424e-01 2.720000000000000000e+02 7.667542869421641663e-10 -5.991464546341227937e+00 nan
-1.131652141981399406e+00 4.721536707938869121e-02 -3.893457262282812859e-01 2.710000000000000000e+02 7.667608963852361549e-10 -5.991464546341221720e+00 nan
-1.123930095887474945e+00 4.675505429673716684e-02 -3.930425881096074048e-01 2.700000000000000000e+02 7.667899051083733645e-10 -5.991464546341192410e+00 nan
-1.116267223141891529e+00 4.867039228225320674e-02 -3.967531675061430341e-01 2.690000000000000000e+02 7.668198777153509585e-10 -5.991464546341162212e+00 nan
-1.108662623756657917e+00 4.677964462343756069e-02 -4.004775665971254672e-01 2.680000000000000000e+02 7.668440203667606446e-10 -5.991464546341137343e+00 nan
-1.101115418121260792e+00 4.962624418916213725e-02 -4.042158887077326179e-01 2.670000000000000000e+02 7.668503034521706504e-10 -5.991464546341132014e+00 nan
-1.093624746392089175e+00 4.771068845136148401e-02 -4.079682383262830947e-01 2.660000000000000000e+02 7.668861942295187231e-10 -5.991464546341096487e+00 nan
-1.086189767904556902e+00 4.933339400177971096e-02 -4.117347211217599612e-01 2.650000000000000000e+02 7.669221309722976134e-10 -5.991464546341059183e+00 nan
-1.078809660606920184e+00 5.206835225528524957e-02 -4.155154439616660089e-01 2.640000000000000000e+02 7.669469838713527246e-10 -5.991464546341034314e+00 nan
-1.071483620514833035e+00 5.234374215725157847e-02 -4.193105149302176482e-01 2.630000000000000000e+02 7.669572601343405440e-10 -5.991464546341025432e+00 nan
-1.064210861185739265e+00 5.307200556766475397e-02 -4.231200433468853550e-01 2.620000000000000000e+02 7.669744672934028396e-10 -5.991464546341007669e+00 nan
-1.056990613212238195e+00 5.186107159995861221e-02 -4.269441397852887787e-01 2.610000000000000000e+02 7.669855096740884721e-10 -5.991464546340997011e+00 nan
-1.049822123733611834e+00 5.194641519873904184e-02 -4.307829160924544487e-01 2.600000000000000000e+02 7.669972165779808561e-10 -5.991464546340984576e+00 nan
-1.042704655964734162e+00 5.203985707344822853e-02 -4.346364854084444063e-01 2.590000000000000000e+02 7.670066159570533845e-10 -5.991464546340974806e+00 nan
-1.035637488741628198e+00 5.306872160216154904e-02 -4.385049621863647551e-01 2.580000000000000000e+02 7.670126413279132541e-10 -5.991464546340969477e+00 nan
-1.028619916082968322e+00 5.248012008144231633e-02 -4.423884622127624011e-01 2.570000000000000000e+02 7.670655785022090479e-10 -5.991464546340917074e+00 nan
-1.021651246766861476e+00 4.979115308891081393e-02 -4.462871026284197518e-01 2.560000000000000000e+02 7.670700893224396170e-10 -5.991464546340911745e+00 nan
-1.014730803922274216e+00 5.120675242831951302e-02 -4.502010019495560900e-01 2.550000000000000000e+02 7.670840622660751370e-10 -5.991464546340897535e+00 nan
-1.007857924634498747e+00 5.200162026310055363e-02 -4.541302800894456704e-01 2.540000000000000000e+02 7.670928082745418686e-10 -5.991464546340889541e+00 nan
-1.001031959564085749e+00 5.285295160197431286e-02 -4.580750583804620302e-01 2.530000000000000000e+02 7.670974162395989395e-10 -5.991464546340885100e+00 nan
-9.942522725786938631e-01 5.142849123365520608e-02 -4.620354595965589506e-01 2.520000000000000000e+02 7.671359868726990655e-10 -5.991464546340846908e+00 nan
-9.875182403973365997e-01 5.097065591438796478e-02 -4.660116079761983943e-01 2.510000000000000000e+02 7.671566817736629644e-10 -5.991464546340824704e+00 nan
-9.808292522465268393e-01 4.984413198522499866e-02 -4.700036292457358544e-01 2.500000000000000000e+02 7.671745880203537460e-10 -5.991464546340806940e+00 nan
-9.741847095278451940e-01 5.330381222978794464e-02 -4.740116506432746624e-01 2.490000000000000000e+02 7.671779041885317927e-10 -5.991464546340803388e+00 nan
-9.675840254964801490e-01 5.300762939951147307e-02 -4.780358009430000776e-01 2.480000000000000000e+02 7.671859551635638899e-10 -5.991464546340796282e+00 nan
-9.610266249503082170e-01 5.545022142652871605e-02 -4.820762104800050407e-01 2.470000000000000000e+02 7.671881533300454546e-10 -5.991464546340794506e+00 nan
-9.545119439291018804e-01 5.279405994336772157e-02 -4.861330111756194117e-01 2.460000000000000000e+02 7.671985425136832924e-10 -5.991464546340782960e+00 nan
-9.480394294234718577e-01 5.337464265514664519e-02 -4.902063365632552405e-01 2.450000000000000000e+02 7.672051847602615893e-10 -5.991464546340777630e+00 nan
-9.416085390931689947e-01 5.160699366174758412e-02 -4.942963218147803373e-01 2.440000000000000000e+02 7.672540973162542510e-10 -5.991464546340728781e+00 nan
-9.352187409943854002e-01 5.141116896581849477e-02 -4.984031037674337417e-01 2.430000000000000000e+02 7.672549162182586689e-10 -5.991464546340727004e+00 nan
-9.288695133157142125e-01 4.999050753671731989e-02 -5.025268209512957496e-01 2.420000000000000000e+02 7.672643252233020891e-10 -5.991464546340718123e+00 nan
-9.225603441224371482e-01 5.063638761485458883e-02 -5.066676136173271505e-01 2.410000000000000000e+02 7.672699887228138355e-10 -5.991464546340711905e+00 nan
-9.162907311088295259e-01 4.864038875088503439e-02 -5.108256237659908328e-01 2.400000000000000000e+02 7.672776910533464841e-10 -5.991464546340703912e+00 nan
-9.100601813581813415e-01 4.920356192899556780e-02 -5.150009951764714655e-01 2.390000000000000000e+02 7.673053580540968172e-10 -5.991464546340677266e+00 nan
-9.038682111102480654e-01 5.023563838405186582e-02 -5.191938734365074692e-01 2.380000000000000000e+02 7.673081375286014614e-10 -5.991464546340674602e+00 nan
-8.977143455358578272e-01 5.034187012312239112e-02 -5.234044059728509835e-01 2.370000000000000000e+02 7.673197767384566703e-10 -5.991464546340663055e+00 nan
-8.915981185184097546e-01 5.185541782014686796e-02 -5.276327420823720971e-01 2.360000000000000000e+02 7.673291829763384742e-10 -5.991464546340653285e+00 nan
-8.855190724420157755e-01 5.182935825076116776e-02 -5.318790329638232173e-01 2.350000000000000000e+02 7.673386826186208360e-10 -5.991464546340643516e+00 nan
-8.794767579860414131e-01 5.290021139268304834e-02 -5.361434317502807856e-01 2.340000000000000000e+02 7.673520039386096907e-10 -5.991464546340630193e+00 nan
-8.734707339258178660e-01 5.442566955941088858e-02 -5.404260935422816603e-01 2.330000000000000000e+02 7.673591807109810640e-10 -5.991464546340622199e+00 nan
-8.675005669393024421e-01 5.351059998792139644e-02 -5.447271754416722622e-01 2.320000000000000000e+02 7.673614367669411347e-10 -5.991464546340621311e+00 nan
-8.615658314194764023e-01 5.307315052324861060e-02 -5.490468365861886912e-01 2.310000000000000000e+02 7.673693575504666925e-10 -5.991464546340612429e+00 nan
-8.556661092922767109e-01 5.214965914506430877e-02 -5.533852381847869095e-01 2.300000000000000000e+02 7.673968185091125734e-10 -5.991464546340585784e+00 nan
-8.498009898398671824e-01 5.267455491170516119e-02 -5.577425435537426424e-01 2.290000000000000000e+02 7.674007951984172427e-10 -5.991464546340582231e+00 nan
-8.439700695290627275e-01 5.272805523333648492e-02 -5.621189181535415358e-01 2.280000000000000000e+02 7.674008851600833023e-10 -5.991464546340581343e+00 nan
-8.381729518447256222e-01 5.154775847796028154e-02 -5.665145296265796659e-01 2.270000000000000000e+02 7.674073219417557133e-10 -5.991464546340575126e+00 nan
-8.324092471279644911e-01 5.221728064090387644e-02 -5.709295478356964937e-01 2.260000000000000000e+02 7.674110741734240270e-10 -5.991464546340571573e+00 nan
-8.266785724189684714e-01 5.195753128731957909e-02 -5.753641449035622468e-01 2.250000000000000000e+02 7.674183665926494971e-10 -5.991464546340564468e+00 nan
-8.209805513043197944e-01 5.242163229298856669e-02 -5.798184952529424896e-01 2.240000000000000000e+02 7.674187787522571551e-10 -5.991464546340562691e+00 nan
-8.153148137686316854e-01 5.201449919352411910e-02 -5.842927756478635271e-01 2.230000000000000000e+02 7.674716029590585550e-10 -5.991464546340511177e+00 nan
