weight logl A B
2.499999999904788019e-03 1.401261533791371577e-12 7.523398944882749850e-01 3.446169996767222132e-01
2.499999999904794525e-03 1.403197184074941454e-12 8.096548438638189182e-01 2.388378355547134957e-01
2.499999999904798861e-03 1.405390572303223648e-12 6.025081832188023956e-01 4.516058733169100448e-01
2.499999999905192210e-03 1.562108500027026791e-12 7.115610676134904722e-01 3.804137687199409257e-01
2.499999999905220833e-03 1.573904554479784409e-12 2.861651476781511549e-01 4.733526145753218506e-01
2.499999999905405147e-03 1.647871232771366525e-12 1.567160429504966812e-01 4.715759352179760278e-01
2.499999999905445046e-03 1.663276797263670507e-12 1.864703815077465299e-01 4.708205256002957473e-01
2.499999999905644973e-03 1.743136505174539374e-12 8.536586719915184585e-01 8.491250217994283922e-02
2.499999999906273376e-03 1.996024967022781098e-12 9.618378932565319062e-02 4.595201364050812698e-01
2.499999999906335826e-03 2.020914713801271439e-12 5.881502862757441719e-01 4.279010916358815253e-01
2.499999999906473303e-03 2.075728572596885292e-12 6.549293921599581569e-01 3.964542676708859847e-01
2.499999999906644173e-03 2.144412637833624454e-12 6.944498468286920412e-01 3.629997465603197471e-01
2.499999999907157218e-03 2.348286422423980484e-12 6.846464786176111872e-01 3.623293744104203462e-01
2.499999999907201453e-03 2.366576274370949813e-12 2.562056699573582730e-01 4.473723993754474826e-01
2.499999999907252628e-03 2.387306461923442825e-12 8.093466645721955066e-01 1.478223338581260426e-01
2.499999999907465999e-03 2.472065204186632138e-12 4.512542541945809838e-01 4.367748797750661272e-01
2.499999999907559240e-03 2.509756247181219956e-12 3.314980387003153561e-01 4.419939199966743670e-01
2.499999999907599139e-03 2.525820712019178088e-12 6.733856025094405728e-01 3.643515946780228054e-01
2.499999999907696717e-03 2.564743427725421373e-12 7.692136487091150165e-01 2.298508331685820139e-01
2.499999999907716666e-03 2.572153883135388287e-12 7.300813336131425357e-01 2.987825749348789195e-01
2.499999999907763504e-03 2.590964292910580460e-12 1.023087390655439410e-01 4.426098753900791216e-01
2.499999999907787790e-03 2.600519937724435218e-12 2.697000740148151054e-01 4.409913583680362681e-01
2.499999999908162924e-03 2.750987611242240788e-12 7.292940407457743079e-01 2.909806537015333650e-01
2.499999999908567114e-03 2.911008759408482158e-12 7.612671637782599809e-01 2.259951957547055024e-01
2.499999999908687244e-03 2.960552826019319923e-12 6.619365638365239946e-01 3.572824203582342095e-01
