########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
1.091555555556e+03 5.633750640467e-09, 8.832459354437e-09 1.367980284862e-07
1.095111111111e+03 1.016819961827e-08, 7.722883427436e-09 2.700177481916e-07
1.098666666667e+03 7.634020840019e-09, 7.131853060850e-09 1.463072538824e-07
1.102222222222e+03 7.060704991027e-09, 7.462154627461e-09 2.299116110605e-07
1.105777777778e+03 6.438389118053e-09, 8.135999504057e-09 1.286805605905e-07
1.109333333333e+03 7.356001699692e-09, 7.736484198144e-09 2.049422693197e-07
1.112888888889e+03 7.111019926115e-09, 1.074220991092e-08 1.503015013555e-07
1.116444444444e+03 4.670417223071e-09, 9.577353106442e-09 1.250567869121e-07
1.120000000000e+03 7.339773117958e-09, 1.286611369639e-08 2.180636445353e-07
1.123555555556e+03 7.597236911046e-09, 4.195973025398e-09 1.767231938391e-07
1.127111111111e+03 5.675149768478e-09, 5.386808160404e-09 1.940541067517e-07
1.130666666667e+03 4.601612690724e-09, 7.737162479214e-09 1.269299150734e-07
1.134222222222e+03 5.872638636858e-09, 6.809022743285e-09 2.431430460436e-07
1.137777777778e+03 3.737600898736e-09, 6.276304571740e-09 1.055078299041e-07
1.141333333333e+03 5.380133935713e-09, 6.129679549514e-09 1.584567904300e-07
1.144888888889e+03 9.269519562508e-09, 1.008563242506e-08 1.971649125312e-07
1.148444444444e+03 7.444179476771e-09, 5.391536746826e-09 1.375622686320e-07
1.152000000000e+03 5.525308703284e-09, 6.866753312420e-09 1.200239709308e-07
1.155555555556e+03 8.521521294088e-09, 5.490885444402e-09 2.389655083519e-07
1.159111111111e+03 6.870932061076e-09, 7.007015898247e-09 1.356981687122e-07
1.162666666667e+03 7.830822823946e-09, 6.915317614340e-09 1.513590296963e-07
1.166222222222e+03 7.065282376182e-09, 8.897506221386e-09 1.574178580896e-07
1.169777777778e+03 1.093330154260e-08, 6.547722503886e-09 1.229624355085e-07
1.173333333333e+03 6.461349811390e-09, 7.108703530963e-09 2.106769406030e-07
1.176888888889e+03 8.857671696726e-09, 6.019604508831e-09 1.328874639564e-07
1.180444444444e+03 5.052390823792e-09, 8.163979545676e-09 1.750782400353e-07
1.184000000000e+03 9.866209319669e-09, 7.216350866672e-09 2.004622034633e-07
1.187555555556e+03 7.214332761930e-09, 7.257494262891e-09 1.989423259028e-07
1.191111111111e+03 6.931684448113e-09, 8.510318971256e-09 1.431929172468e-07
